timestamp_utc,experiment,gate,value,threshold,status,note
2026-08-01T00:33:49.722445+00:00,E0_E0b,G4.4_heldout_vs_insample_k25_K562_clip_log1p,"{""in"": 0.09995836019515991, ""heldout"": 0.0995393879711628}",reported; no fitted mapping,PASS,K562_clip_log1p
2026-08-01T00:33:49.722449+00:00,E0_E0b,G4.5_null_resolution_k25_K562_clip_log1p,0.000999000999000999,draws>=100,PASS,K562_clip_log1p
2026-08-01T00:33:49.722460+00:00,E0_E0b,G4.6_effect_ci_k25_K562_clip_log1p,"{""bootstrap_ci95"": [0.0806662067770958, 0.09243474379181862], ""null_p95"": 0.003891450143419206}","finding, not validity: an extreme negative here is a RESULT and must not fail the run",OBSERVED,K562_clip_log1p
2026-08-01T00:33:49.722465+00:00,E0_E0b,E0.b_pc1_not_dominant_k25_K562_clip_log1p,0.21410790520687373,pc1_share < 0.9 so the result is not merely the mean-expression axis,PASS,K562_clip_log1p
2026-08-01T00:33:49.722474+00:00,E0_E0b,E0.b_observed_vs_haar_floor_k25_K562_clip_log1p,"{""observed"": 0.09995836019515991, ""null_p95"": 0.003891450143419206}",recorded for comparison; beating the Haar floor is explicitly NOT the decision rule,OBSERVED,K562_clip_log1p
2026-08-01T00:33:49.722478+00:00,E0_E0b,E0.d_ceiling_k25_K562_clip_log1p,0.9002358913421631,>null p95,PASS,K562_clip_log1p
2026-08-01T00:33:49.722491+00:00,E0_E0b,E0.e_matched_spectrum_floor_k25_K562_clip_log1p,"{""spectrum_rel_error"": 1.4048183858839135e-07, ""orthonormality_error"": 3.328456470441665e-07, ""checked_draws"": 3.0}",measured rotation: relative singular error<0.0001 and ||QtQ-I||<0.0001 on >=1 draw,PASS,K562_clip_log1p
2026-08-01T00:33:49.722515+00:00,E0_E0b,E0.g_responsive_exceeds_nonresponsive_k25_K562_clip_log1p,"{""responsive_exceeds_nonresponsive"": true, ""decision_status"": ""available"", ""responsive_overlap"": 0.09550555795431137, ""nonresponsive_overlap"": 0.04124490171670914, ""responsive_ci95"": [0.07479693591594697, 0.08539639115333557], ""nonresponsive_ci95"": [0.02652623844332993, 0.03684183582663536], ""bootstrap_diff_ci95"": [0.04083436466753483, 0.056144235422834754], ""bootstrap_diff_median"": 0.04848801530897617, ""n_paired_bootstrap_draws"": 1000, ""responsive_exceeds_nonresponsive_marginal_ci"": true, ""overlap_gap"": 0.054260656237602234, ""responsive_normalised_alignment"": 0.10257095674287824, ""nonresponsive_normalised_alignment"": 0.042077288472631265, ""n_rows"": [2501, 2501], ""arms_are_n_matched"": true, ""responsive_beats_haar_floor_only"": true, ""control_beats_haar_floor"": true}",n-matched responsive bootstrap CI lower > non-responsive CI upper,OBSERVED,K562_clip_log1p
2026-08-01T00:33:49.722518+00:00,E0_E0b,E0.i_normalised_alignment_interpretable_k25_K562_clip_log1p,0.8967204490909353,ceiling-null gap > 1e-6 so (observed-null)/(ceiling-null) is interpretable,PASS,K562_clip_log1p
2026-08-01T00:33:49.722527+00:00,E0_E0b,E0.i_normalised_alignment_value_k25_K562_clip_log1p,"{""normalised"": 0.10755070662401273, ""status"": ""available""}",reported for scale; no pass/fail threshold is predeclared,OBSERVED,K562_clip_log1p
2026-08-01T00:35:07.788264+00:00,E0_E0b,G1.1_no_constant_columns,"{""dropped"": 0, ""pre_constant"": 7621, ""dropped_fraction"": 0.0, ""evaluated"": 7621}",n_constant_columns_dropped <= 0.01*n_matched_pre_constant AND n_matched_evaluated > 100,PASS,RPE1_clip_log1p
2026-08-01T00:35:07.788295+00:00,E0_E0b,G1.2_real_gene_join,"8748,20501,7621",">=0.8*min(left,right)",PASS,RPE1_clip_log1p
2026-08-01T00:35:07.788300+00:00,E0_E0b,G1.3_join_not_scrambled,per-k observed vs gene-label permutation,"recorded; join validity is enforced by G1.2/G1.6, not by this statistic",OBSERVED,RPE1_clip_log1p
2026-08-01T00:35:07.788338+00:00,E0_E0b,G1.4_scale_sanity,"{""raw_max"": 7092440.0, ""post_transform_max"": 22.757850646972656, ""post_transform_zero_fraction"": 0.14395144397007015, ""post_transform_skew"": -0.3311559557914734}",all finite; post_transform_max>0; 0<=zero_fraction<1,PASS,RPE1_clip_log1p
2026-08-01T00:35:07.788360+00:00,E0_E0b,G1.5_explicit_row_filtering,"{""P_nonfinite"": 240, ""T_nonfinite"": 1671, ""P_zero"": 0, ""T_zero"": 0}",every drop counted and P/T drops leave the declared row counts intact,PASS,RPE1_clip_log1p
