timestamp_utc,experiment,gate,value,threshold,status,note
2026-07-31T22:03:42.921201+00:00,E0_E0b,E0.h_control_arm_present,"{""arm_status"": ""available"", ""n_perturbation_rows"": 2326, ""n_energy_p_nonfinite"": 0, ""responsive_p_threshold"": 0.01, ""nonresponsive_p_threshold"": 0.5, ""arm_subsample_seed"": 1053, ""n_responsive_full"": 1949, ""n_responsive_matched"": 50, ""n_nonresponsive"": 50, ""arms_are_n_matched"": true}",responsive and non-responsive arms built from energy_test_p_value and n-matched,OBSERVED,RPE1_signed_log1p
2026-07-31T22:03:42.921206+00:00,E0_E0b,G4.1_positive_control_split_half_k10_RPE1_signed_log1p,0.9274343848228455,> same-path heldout matched-null p95,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921211+00:00,E0_E0b,G4.2_negative_control_rotated_P_k10_RPE1_signed_log1p,0.0013048367691226304,near k/n_genes,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921222+00:00,E0_E0b,G4.2b_negative_control_gene_shuffle_k10_RPE1_signed_log1p,"{""median"": 0.014235963579267263, ""p95"": 0.01512207523919642, ""p"": 0.000999000999000999}","recorded; near-identical to the Haar null by construction, so not independent corroboration",OBSERVED,RPE1_signed_log1p
2026-07-31T22:03:42.921232+00:00,E0_E0b,G4.3_null_sanity_k10_RPE1_signed_log1p,"{""std"": 0.00019069314046793443, ""p95"": 0.0016430725983809678}",std>0; nondegenerate,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921242+00:00,E0_E0b,G4.4_heldout_vs_insample_k10_RPE1_signed_log1p,"{""in"": 0.07644825428724289, ""heldout"": 0.07707782462239265}",reported; no fitted mapping,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921245+00:00,E0_E0b,G4.5_null_resolution_k10_RPE1_signed_log1p,0.000999000999000999,draws>=100,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921256+00:00,E0_E0b,G4.6_effect_ci_k10_RPE1_signed_log1p,"{""bootstrap_ci95"": [0.06447810940444469, 0.08173925653100013], ""null_p95"": 0.0016430725983809678}","finding, not validity: an extreme negative here is a RESULT and must not fail the run",OBSERVED,RPE1_signed_log1p
2026-07-31T22:03:42.921261+00:00,E0_E0b,E0.b_pc1_not_dominant_k10_RPE1_signed_log1p,0.3354144559879575,pc1_share < 0.9 so the result is not merely the mean-expression axis,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921270+00:00,E0_E0b,E0.b_observed_vs_haar_floor_k10_RPE1_signed_log1p,"{""observed"": 0.07644825428724289, ""null_p95"": 0.0016430725983809678}",recorded for comparison; beating the Haar floor is explicitly NOT the decision rule,OBSERVED,RPE1_signed_log1p
